City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.12,96,99,2.6,GS,1699580105
1,puerto natales,-51.7236,-72.4875,9.25,49,40,6.17,CL,1699580110
2,umba,66.6871,34.3429,-4.17,91,92,1.74,RU,1699580676
3,gaalkacyo,6.7697,47.4308,24.19,74,98,5.29,SO,1699580676
4,malango,-2.9627,119.9001,28.48,54,19,1.76,ID,1699580677
5,aldan,58.6031,125.3894,-17.22,90,97,1.84,RU,1699580677
6,mount isa,-20.7333,139.5,28.87,54,100,4.12,AU,1699580678
7,norilsk,69.3535,88.2027,-5.32,81,100,7.05,RU,1699580679
8,port-aux-francais,-49.35,70.2167,5.44,97,100,9.9,TF,1699580103
9,coquimbo,-29.9533,-71.3436,15.85,82,100,3.09,CL,1699580138
10,aral,40.5156,81.2636,7.75,33,100,2.79,CN,1699580134
11,korla,41.7597,86.1469,8.0,35,56,5.62,CN,1699580681
12,olonkinbyen,70.9221,-8.7187,-2.33,73,100,2.19,SJ,1699579864
13,keflavik,64.0049,-22.5624,2.24,69,0,1.54,IS,1699580168
14,yellowknife,62.456,-114.3525,0.31,98,100,12.35,CA,1699580115
15,ushuaia,-54.8,-68.3,8.81,86,40,5.66,AR,1699580122
16,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1699580180
17,port mathurin,-19.6833,63.4167,24.75,77,9,5.86,MU,1699580162
18,wailua homesteads,22.0669,-159.378,27.44,78,0,3.58,US,1699580137
19,avarua,-21.2078,-159.775,26.03,78,20,4.12,CK,1699580172
20,marsh harbour,26.5412,-77.0636,26.12,74,8,6.34,BS,1699580684
21,nemuro,43.3236,145.575,14.12,86,100,13.16,JP,1699580199
22,tindouf,27.6711,-8.1474,19.25,26,28,3.09,DZ,1699580152
23,albany,42.6001,-73.9662,8.23,74,100,0.45,US,1699580685
24,east london,-33.0153,27.9116,16.38,84,0,2.24,ZA,1699580153
25,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,73,100,9.39,RU,1699580204
26,qaqortoq,60.7167,-46.0333,-5.65,79,8,4.14,GL,1699580231
27,mount pearl,47.5166,-52.7813,2.96,96,100,10.8,CA,1699580111
28,saipan,15.1355,145.701,31.39,74,40,6.69,MP,1699580127
29,khovd,48.0056,91.6419,-3.98,84,99,1.08,MN,1699580687
30,picos,-7.0769,-41.4669,29.39,40,55,1.5,BR,1699580688
31,kruisfontein,-34.0033,24.7314,12.93,78,0,2.13,ZA,1699580110
32,waitangi,-43.9535,-176.5597,12.12,64,95,2.68,NZ,1699580115
33,shadipur julana,29.1333,76.4167,20.92,41,5,1.66,IN,1699580689
34,tateyama,34.9833,139.8667,18.39,68,100,6.59,JP,1699580157
35,papatowai,-46.5619,169.4708,12.67,47,2,2.72,NZ,1699580181
36,iskateley,67.6803,53.1512,-4.43,94,39,4.47,RU,1699580156
37,andreapol',56.6513,32.2664,2.47,96,60,1.86,RU,1699580690
38,atafu village,-8.5421,-172.5159,29.25,76,100,6.43,TK,1699580112
39,afaahiti,-17.75,-149.2833,28.93,84,37,5.48,PF,1699580184
40,hamilton,39.1834,-84.5333,13.21,45,100,3.6,US,1699579882
41,thompson,55.7435,-97.8558,-10.91,79,20,2.06,CA,1699580121
42,edinburgh of the seven seas,-37.0676,-12.3116,11.93,66,86,2.85,SH,1699580134
43,vorgashor,67.5833,63.95,-3.41,96,99,5.32,RU,1699580244
44,invercargill,-46.4,168.35,14.45,59,0,3.13,NZ,1699579919
45,endicott,42.0984,-76.0494,7.4,82,0,3.09,US,1699580693
46,lebu,-37.6167,-73.65,9.74,86,3,5.45,CL,1699580136
47,iqaluit,63.7506,-68.5145,-6.15,79,100,4.63,CA,1699580109
48,pangai,-19.8,-174.35,28.06,74,75,5.14,TO,1699580694
49,ballina,-28.8667,153.5667,22.66,85,100,4.45,AU,1699580694
50,liwale,-9.7667,37.9333,22.8,86,71,2.35,TZ,1699580695
51,labrador city,52.9463,-66.9114,-6.05,79,100,3.6,CA,1699580153
52,bac lieu,9.285,105.7244,29.0,77,99,4.16,VN,1699580696
53,ribeira grande,38.5167,-28.7,20.99,95,55,6.71,PT,1699580154
54,port elizabeth,-33.918,25.5701,13.51,89,1,0.89,ZA,1699580142
55,vilyuchinsk,52.9306,158.4028,-1.85,91,100,1.25,RU,1699580204
56,holualoa,19.6228,-155.9522,27.5,75,40,4.12,US,1699580146
57,masjed soleyman,31.9364,49.3039,21.62,37,0,0.57,IR,1699580698
58,katsuren-haebaru,26.3369,127.8719,28.43,85,75,5.66,JP,1699580272
59,west island,-12.1568,96.8225,26.99,83,75,7.2,CC,1699580140
60,ujae,8.9322,165.7642,28.25,78,100,9.83,MH,1699580699
61,six-fours-les-plages,43.0938,5.84,11.92,85,100,6.05,FR,1699580699
62,opuwo,-18.0607,13.84,21.75,28,14,0.95,NA,1699580700
63,kaihua,23.3687,104.28,19.21,81,82,3.1,CN,1699580700
64,longyearbyen,78.2186,15.6401,-5.09,68,75,5.66,SJ,1699580130
65,severo-yeniseyskiy,60.3725,93.0408,-15.79,96,36,1.34,RU,1699580701
66,tiksi,71.6872,128.8694,-17.75,91,100,5.38,RU,1699580185
67,bethel,41.3712,-73.414,8.14,87,0,1.54,US,1699580109
68,whitehorse,60.7161,-135.0538,4.43,65,75,9.77,CA,1699579923
69,kimbe,-5.5502,150.1429,33.31,50,99,1.71,PG,1699580703
70,college,64.8569,-147.8028,-3.85,92,100,1.54,US,1699580121
71,enewetak,11.3474,162.3373,28.46,74,63,8.16,MH,1699580106
72,tolanaro,-25.0319,46.9987,22.04,73,40,3.09,MG,1699580307
73,bredasdorp,-34.5322,20.0403,13.58,78,0,1.71,ZA,1699580106
74,karaton,-6.3424,106.1045,30.32,63,97,0.41,ID,1699580705
75,nouadhibou,20.931,-17.0347,20.99,73,2,7.2,MR,1699580167
76,yanchep,-31.55,115.6833,20.01,41,100,5.22,AU,1699580707
77,lakatoro,-16.0999,167.4164,27.08,72,98,8.47,VU,1699580707
78,gereida,11.2811,25.1414,26.03,58,96,1.08,SD,1699580708
79,touros,-5.1989,-35.4608,25.99,79,100,6.29,BR,1699580175
80,fale old settlement,-9.3852,-171.2468,29.05,76,88,6.95,TK,1699580120
81,kristiansund,63.1115,7.732,3.36,70,100,0.51,NO,1699580709
82,pariaman,-0.619,100.12,27.03,87,99,1.62,ID,1699580709
83,kapuskasing,49.4169,-82.4331,-1.95,93,100,5.66,CA,1699580119
84,den burg,53.0542,4.7972,7.99,93,75,6.69,NL,1699580710
85,pitea,65.3172,21.4794,0.05,95,100,0.36,SE,1699580710
86,chonchi,-42.6128,-73.8092,7.84,97,25,0.82,CL,1699580182
87,arica,-18.475,-70.3042,20.13,68,0,1.54,CL,1699580711
88,chibougamau,49.9168,-74.3659,-7.21,93,100,3.09,CA,1699579945
89,akdepe,42.0551,59.3788,7.05,50,100,6.26,TM,1699580712
90,hithadhoo,-0.6,73.0833,27.4,76,97,4.24,MV,1699580712
91,stanley,54.868,-1.6985,6.55,96,75,1.03,GB,1699579859
92,ceske budejovice,48.9745,14.4743,8.4,74,100,2.68,CZ,1699580713
93,bentiu,9.2333,29.8333,23.93,77,100,0.89,SS,1699580714
94,hawaiian paradise park,19.5933,-154.9731,27.73,76,20,5.66,US,1699580163
95,champerico,14.3,-91.9167,27.93,79,65,1.95,GT,1699580253
96,patnongon,10.9132,121.9937,29.65,66,45,2.34,PH,1699580715
97,karratha,-20.7377,116.8463,35.3,20,0,6.19,AU,1699580282
98,blackmans bay,-43.0167,147.3167,25.85,63,97,0.89,AU,1699580716
99,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1699580549
100,bilibino,68.0546,166.4372,-23.96,100,91,0.42,RU,1699580138
101,arkalyk,50.2486,66.9114,4.62,77,100,3.25,KZ,1699580717
102,isafjordur,66.0755,-23.124,0.79,78,35,1.96,IS,1699580717
103,roma,43.2128,-75.4557,7.12,84,20,4.12,US,1699579984
104,khandyga,62.6667,135.6,-25.72,95,96,0.91,RU,1699580718
105,leticia,-4.2153,-69.9406,25.03,94,40,1.03,CO,1699580719
106,ivot,53.6756,34.1872,3.76,93,49,1.68,RU,1699580719
107,isangel,-19.55,169.2667,27.06,54,75,4.63,VU,1699580272
108,sikonge,-5.6333,32.7667,22.94,37,100,2.04,TZ,1699580720
109,codrington,-38.2667,141.9667,29.25,22,72,2.56,AU,1699580229
110,sarangani,5.4033,125.4636,28.62,75,98,4.26,PH,1699580721
111,tura,25.5198,90.2201,21.27,69,0,1.1,IN,1699580144
112,ulety,51.3572,112.4849,-11.5,76,28,2.34,RU,1699580722
113,adamstown,-25.066,-130.1015,22.63,86,100,6.04,PN,1699580722
114,badger,64.8,-147.5333,-3.9,90,100,1.54,US,1699580130
115,puerto carreno,6.189,-67.4859,27.17,82,100,1.5,CO,1699580169
116,kupang,-10.1667,123.5833,33.32,58,20,5.14,ID,1699580265
117,puerto ayora,-0.7393,-90.3518,24.75,92,100,4.02,EC,1699580143
118,cannonvale,-20.2833,148.7,25.66,60,36,5.8,AU,1699580207
119,dalnerechensk,45.9339,133.7225,-6.67,91,100,3.7,RU,1699580724
120,utrik,11.2278,169.8474,27.84,75,100,9.04,MH,1699580167
121,tselinnoye,53.0833,85.6667,-3.63,97,100,2.25,RU,1699580726
122,lata,40.1629,-8.3327,12.26,91,100,1.09,PT,1699580728
123,xilin hot,43.9667,116.0333,-12.23,75,6,2.25,CN,1699580729
124,howrah,22.5892,88.3103,22.0,83,6,0.0,IN,1699580251
125,pyay,18.8167,95.2167,25.19,75,7,2.94,MM,1699580730
126,pechora,65.1472,57.2244,1.59,100,99,4.92,RU,1699580730
127,paracuru,-3.41,-39.0306,27.84,80,100,6.03,BR,1699580731
128,happy valley-goose bay,53.3168,-60.3315,-1.83,69,100,4.63,CA,1699580192
129,kourou,5.1552,-52.6478,26.03,84,61,4.01,GF,1699580732
130,udachny,66.4167,112.4,-14.01,93,95,1.79,RU,1699579929
131,sorong,-0.8833,131.25,29.06,69,42,2.97,ID,1699580251
132,labasa,-16.4167,179.3833,28.85,67,82,4.52,FJ,1699580733
133,ust-nera,64.5667,143.2,-26.16,95,67,1.35,RU,1699580733
134,la passe,45.5549,-0.8967,11.1,75,100,9.15,FR,1699580038
135,monett,36.929,-93.9277,8.98,61,0,2.06,US,1699580734
136,el fasher,13.6279,25.3494,23.86,29,94,1.49,SD,1699580735
137,sisimiut,66.9395,-53.6735,-6.22,80,99,5.65,GL,1699580146
138,sinop,41.7711,34.8709,8.94,85,89,1.34,TR,1699580736
139,walvis bay,-22.9575,14.5053,15.05,90,7,1.61,NA,1699580271
140,san juan del sur,11.2529,-85.8705,27.64,79,59,5.0,NI,1699580736
141,port saint john's,-31.6229,29.5448,17.01,88,0,2.18,ZA,1699580060
142,bichura,50.5881,107.6022,-10.78,71,84,1.19,RU,1699580737
143,gumel,12.6279,9.3912,23.76,20,18,3.57,NG,1699580738
144,kirensk,57.7853,108.1119,-15.02,98,31,0.45,RU,1699580738
145,pemba,-12.974,40.5178,26.39,89,40,3.09,MZ,1699580276
146,tucacas,10.7906,-68.3258,27.55,87,71,6.3,VE,1699580739
147,jamestown,42.097,-79.2353,8.77,74,0,4.63,US,1699579891
148,minas de marcona,-15.2119,-75.1103,15.19,82,50,3.47,PE,1699580740
149,lazaro cardenas,17.9583,-102.2,26.81,81,15,1.67,MX,1699579989
150,puerto baquerizo moreno,-0.9,-89.6,24.58,83,100,7.16,EC,1699580160
151,richards bay,-28.783,32.0377,18.06,86,50,1.13,ZA,1699580741
152,aykhal,66.0,111.5,-13.43,93,99,1.66,RU,1699580741
153,nova sintra,14.8667,-24.7167,22.31,66,98,2.62,CV,1699580191
154,jaciara,-15.9653,-54.9683,25.69,62,44,1.14,BR,1699580742
155,dunedin,-45.8742,170.5036,11.5,57,46,2.84,NZ,1699580743
156,weno,7.4515,151.8468,26.97,89,100,4.63,FM,1699580262
157,benguela,-12.5763,13.4055,24.39,77,97,1.58,AO,1699580743
158,iquique,-20.2208,-70.1431,19.02,79,98,2.79,CL,1699580640
159,bubaque,11.2833,-15.8333,28.75,60,75,5.79,GW,1699580229
160,anadyr,64.75,177.4833,-8.72,78,0,5.0,RU,1699580177
161,luena,-11.7833,19.9167,17.12,96,97,1.91,AO,1699580745
162,sinabang,2.4803,96.3801,27.19,80,100,2.2,ID,1699579940
163,port lincoln,-34.7333,135.8667,28.29,44,28,0.21,AU,1699580246
164,shahabad,27.65,79.95,21.58,47,7,0.41,IN,1699580746
165,san fernando,15.0286,120.6898,30.85,62,18,3.45,PH,1699580746
166,baardheere,2.3446,42.2764,26.08,81,91,2.14,SO,1699580746
167,novoukrayinka,48.3264,31.5285,5.03,73,4,3.05,UA,1699580747
168,zabaykal'sk,49.6333,117.3167,-12.95,82,13,3.82,RU,1699580747
169,al jawf,29.5,38.75,20.45,38,0,4.89,SA,1699580748
170,cabo san lucas,22.8909,-109.9124,27.51,75,40,2.06,MX,1699580083
171,kodiak,57.79,-152.4072,1.73,55,100,0.0,US,1699580637
172,ilulissat,69.2167,-51.1,-3.99,74,100,4.12,GL,1699580750
173,pandan,14.0453,124.1694,28.4,81,49,4.09,PH,1699580224
174,okakarara,-20.5833,17.4333,20.95,27,76,1.51,NA,1699580751
175,moss,59.434,10.6577,4.35,100,100,3.09,NO,1699580751
176,nova xavantina,-14.6667,-52.35,27.12,52,73,0.65,BR,1699580752
177,fabens,31.5023,-106.1586,13.65,77,47,6.29,US,1699580158
178,vadso,70.0744,29.7487,-0.91,80,100,10.29,NO,1699580752
179,luderitz,-26.6481,15.1594,15.18,87,93,0.43,NA,1699580240
180,usakos,-22.0,15.6,22.46,21,57,1.01,NA,1699580753
181,mu'minobod,38.1085,70.0285,3.35,51,0,3.69,TJ,1699580753
182,montepuez,-13.1256,38.9997,20.75,93,16,1.34,MZ,1699580754
183,zhezqazghan,47.7833,67.7667,4.32,100,100,4.0,KZ,1699580206
184,susuman,62.7833,148.1667,-26.01,97,86,0.6,RU,1699580229
185,galesong,-5.3166,119.3661,33.01,55,14,0.98,ID,1699580755
186,ashland,40.8167,-82.2665,8.9,72,100,2.83,US,1699580609
187,san severino marche,43.2281,13.1802,12.9,57,100,2.11,IT,1699580756
188,san matias,-16.3667,-58.4,26.39,69,54,2.04,BO,1699580756
189,amungan,15.3652,119.9582,30.0,60,8,1.28,PH,1699580757
190,mahina,-17.5065,-149.489,29.87,66,20,3.6,PF,1699580219
191,smara,26.7384,-11.6719,18.6,50,5,2.36,EH,1699580758
192,arkhangel'sk,64.5401,40.5433,-5.49,97,99,1.3,RU,1699580249
193,namibe,-15.1961,12.1522,18.93,88,26,2.12,AO,1699580199
194,qarqaraly,49.4058,75.4742,2.97,75,100,5.53,KZ,1699580759
195,magadan,59.5667,150.8,-18.04,73,7,4.19,RU,1699580190
196,boguchany,58.3814,97.4531,-13.97,94,8,1.34,RU,1699580759
197,carutapera,-1.195,-46.02,26.4,81,93,4.16,BR,1699580760
198,san patricio,28.017,-97.5169,24.91,86,100,1.56,US,1699580223
199,cascais,38.6979,-9.4215,14.96,81,36,9.83,PT,1699580761
200,kaiapoi,-43.3783,172.6401,17.06,51,20,2.57,NZ,1699580761
201,huanggang,23.677,116.9996,25.94,69,31,1.53,CN,1699580762
202,klyuchi,52.2667,79.1667,4.91,89,100,3.36,RU,1699580166
203,pontes e lacerda,-15.2261,-59.3353,25.46,78,96,0.66,BR,1699580762
204,taltal,-25.4,-70.4833,16.28,90,76,2.82,CL,1699580763
205,piriapolis,-34.8682,-55.2744,13.84,81,0,3.09,UY,1699580763
206,kolokani,13.5728,-8.0339,23.2,24,67,4.12,ML,1699580764
207,mitu,1.1983,-70.1733,23.53,95,100,0.18,CO,1699580764
208,chapaev,50.2,51.1667,9.45,79,100,8.1,KZ,1699580765
209,juneau,58.3019,-134.4197,7.0,93,100,4.63,US,1699580765
210,muisne,0.6,-80.0333,24.77,85,100,4.01,EC,1699580766
211,bagli,22.65,76.35,20.48,51,0,1.03,IN,1699580766
212,paramonga,-10.6667,-77.8333,18.95,87,69,3.49,PE,1699580767
213,margaret river,-33.95,115.0667,16.03,58,87,3.12,AU,1699580767
214,plouzane,48.3833,-4.6167,10.03,87,75,11.83,FR,1699580768
215,cerda,37.9059,13.8144,16.06,64,99,4.27,IT,1699580768
216,tazovsky,67.4667,78.7,-4.8,87,100,8.32,RU,1699580768
217,elassona,39.8947,22.1886,9.63,78,88,0.51,GR,1699580769
218,alice town,25.7167,-79.3,26.05,79,1,7.58,BS,1699580769
219,polyarnyy,69.1989,33.4478,-3.82,85,100,8.58,RU,1699580196
220,hermanus,-34.4187,19.2345,16.15,70,0,4.12,ZA,1699580710
221,uturoa,-16.7333,-151.4333,26.65,81,11,5.77,PF,1699580204
222,belyy yar,53.6039,91.3903,-21.06,84,100,0.0,RU,1699580771
223,riverton,40.5219,-111.9391,5.66,71,0,2.06,US,1699580025
224,port macquarie,-31.4333,152.9167,24.94,63,8,7.79,AU,1699580772
225,sparti,37.0733,22.4297,16.64,89,54,0.72,GR,1699580772
226,port-vila,-17.7338,168.3219,23.78,88,100,4.63,VU,1699580773
227,amahai,-3.3333,128.9167,29.46,68,9,1.82,ID,1699580773
228,chalonnes-sur-loire,47.3516,-0.7631,7.78,85,9,4.87,FR,1699580774
229,greymouth,-42.4667,171.2,15.59,61,100,2.94,NZ,1699580775
230,otelu rosu,45.5333,22.3667,4.91,53,91,2.57,RO,1699580775
231,nehe,48.4833,124.8333,-9.18,82,58,3.45,CN,1699580776
232,praia,14.9215,-23.5087,24.3,64,75,4.63,CV,1699580776
233,constantia,44.1833,28.65,6.5,65,1,4.52,RO,1699580777
234,verkhnevilyuysk,63.4453,120.3167,-11.7,94,100,1.81,RU,1699580777
235,leo,11.1,-2.1,28.44,46,100,1.01,BF,1699580778
236,san julian,21.0167,-102.1667,16.9,67,58,2.73,MX,1699580778
237,leshan,29.5623,103.7639,19.55,75,100,0.57,CN,1699580779
238,shingu,33.7333,135.9833,18.27,97,100,1.99,JP,1699580299
239,laguna,38.421,-121.4238,16.29,55,0,1.54,US,1699579911
240,mareeba,-17.0,145.4333,29.16,32,20,3.47,AU,1699580780
241,marica,-22.9194,-42.8186,26.97,74,4,2.34,BR,1699580731
242,alamos,27.0167,-108.9333,22.67,51,0,1.37,MX,1699580781
243,nar'yan-mar,67.6713,53.087,-4.38,94,31,4.47,RU,1699580194
244,inarajan village,13.2736,144.7484,31.11,83,100,8.1,GU,1699580782
245,grand-bassam,5.2118,-3.7388,25.98,89,100,2.49,CI,1699580783
246,fisterra,42.9049,-9.2629,13.75,77,99,6.55,ES,1699580783
247,flying fish cove,-10.4217,105.6791,27.82,74,75,4.63,CX,1699580196
248,labuan,5.2767,115.2417,30.2,74,20,1.03,MY,1699580784
249,alvorada,-12.48,-49.1247,26.41,57,16,0.98,BR,1699580785
250,lorengau,-2.0226,147.2712,29.24,72,100,6.51,PG,1699580203
251,new plymouth,-39.0667,174.0833,17.07,42,0,3.52,NZ,1699580785
252,santo antonio do leverger,-15.8656,-56.0767,31.21,60,10,2.19,BR,1699580786
253,tot'ma,59.9747,42.7642,-1.95,92,11,1.5,RU,1699580787
254,mount gambier,-37.8333,140.7667,30.38,19,52,2.05,AU,1699580207
255,port alfred,-33.5906,26.891,16.28,85,0,2.56,ZA,1699580787
256,adrar,20.5022,-10.0711,20.67,27,0,3.59,MR,1699580788
257,shalkar,47.8288,59.6258,6.71,86,68,4.9,KZ,1699580788
258,colonia,50.9333,6.95,8.27,85,40,4.63,DE,1699580196
259,revelstoke,50.9832,-118.2023,5.01,81,100,4.12,CA,1699580789
260,dawei,14.0833,98.2,28.62,73,46,1.27,MM,1699580790
261,rio san juan,19.6439,-70.0763,25.64,84,26,5.78,DO,1699580790
262,lucapa,-8.4192,20.7447,19.31,99,100,0.59,AO,1699580790
263,kushiro,42.975,144.3747,14.53,88,75,9.26,JP,1699580307
264,machilipatnam,16.1667,81.1333,23.89,73,4,3.76,IN,1699580791
265,marysville,48.0518,-122.1771,9.52,87,100,3.09,US,1699580792
266,talnakh,69.4865,88.3972,-5.44,81,100,9.36,RU,1699580792
267,gamba,-2.65,10.0,24.86,92,100,2.73,GA,1699580792
268,olinda,-8.0089,-34.8553,26.85,74,40,3.09,BR,1699580716
269,cidreira,-30.1811,-50.2056,18.51,84,100,4.19,BR,1699579958
270,carnarvon,-24.8667,113.6333,22.19,59,48,9.85,AU,1699580794
271,camabatela,-8.1881,15.375,18.32,99,100,1.11,AO,1699580794
272,belmonte,-15.8631,-38.8828,23.97,89,7,2.98,BR,1699580795
273,horta,38.5333,-28.6333,20.57,95,62,8.94,PT,1699580796
274,berezovyy,51.6667,135.7,-5.53,78,100,1.77,RU,1699580796
275,mao,39.8885,4.2658,14.31,88,0,2.57,ES,1699580798
276,bela,25.9333,81.9833,22.58,47,19,0.62,IN,1699580798
277,daru,-9.0763,143.2092,28.31,59,51,3.98,PG,1699580799
278,dno,57.8277,29.9637,4.23,93,100,2.98,RU,1699580799
279,qamdo,31.1667,97.2333,-1.14,37,98,1.27,CN,1699580800
280,aasiaat,68.7098,-52.8699,-7.14,90,99,6.71,GL,1699580800
281,tambura,5.6,27.4667,22.04,89,100,0.68,SS,1699580801
282,lompoc,34.6391,-120.4579,17.14,68,0,7.15,US,1699580801
283,kingston,17.997,-76.7936,29.53,86,20,2.06,JM,1699580571
284,darwin,-12.4611,130.8418,28.83,83,75,7.2,AU,1699580758
285,kawambwa,-9.7915,29.0791,18.72,89,100,1.35,ZM,1699580802
